"OldFeatureLabel" "NewFeatureLabel"
"tBodyAcc-mean()-X" "TimeBodyAccelerometerMeanX"
"tBodyAcc-mean()-Y" "TimeBodyAccelerometerMeanY"
"tBodyAcc-mean()-Z" "TimeBodyAccelerometerMeanZ"
"tBodyAcc-std()-X" "TimeBodyAccelerometerStandardDeviationX"
"tBodyAcc-std()-Y" "TimeBodyAccelerometerStandardDeviationY"
"tBodyAcc-std()-Z" "TimeBodyAccelerometerStandardDeviationZ"
"tBodyAcc-mad()-X" "TimeBodyAccelerometerMedianAbsoluteDeviationX"
"tBodyAcc-mad()-Y" "TimeBodyAccelerometerMedianAbsoluteDeviationY"
"tBodyAcc-mad()-Z" "TimeBodyAccelerometerMedianAbsoluteDeviationZ"
"tBodyAcc-max()-X" "TimeBodyAccelerometerMaxX"
"tBodyAcc-max()-Y" "TimeBodyAccelerometerMaxY"
"tBodyAcc-max()-Z" "TimeBodyAccelerometerMaxZ"
"tBodyAcc-min()-X" "TimeBodyAccelerometerMinX"
"tBodyAcc-min()-Y" "TimeBodyAccelerometerMinY"
"tBodyAcc-min()-Z" "TimeBodyAccelerometerMinZ"
"tBodyAcc-sma()" "TimeBodyAccelerometerSignalMagnitudeArea"
"tBodyAcc-energy()-X" "TimeBodyAccelerometerEnergyX"
"tBodyAcc-energy()-Y" "TimeBodyAccelerometerEnergyY"
"tBodyAcc-energy()-Z" "TimeBodyAccelerometerEnergyZ"
"tBodyAcc-iqr()-X" "TimeBodyAccelerometerInterquartileRangeX"
"tBodyAcc-iqr()-Y" "TimeBodyAccelerometerInterquartileRangeY"
"tBodyAcc-iqr()-Z" "TimeBodyAccelerometerInterquartileRangeZ"
"tBodyAcc-entropy()-X" "TimeBodyAccelerometerEntropyX"
"tBodyAcc-entropy()-Y" "TimeBodyAccelerometerEntropyY"
"tBodyAcc-entropy()-Z" "TimeBodyAccelerometerEntropyZ"
"tBodyAcc-arCoeff()-X,1" "TimeBodyAccelerometerAutoregressionCoefficientsX_1"
"tBodyAcc-arCoeff()-X,2" "TimeBodyAccelerometerAutoregressionCoefficientsX_2"
"tBodyAcc-arCoeff()-X,3" "TimeBodyAccelerometerAutoregressionCoefficientsX_3"
"tBodyAcc-arCoeff()-X,4" "TimeBodyAccelerometerAutoregressionCoefficientsX_4"
"tBodyAcc-arCoeff()-Y,1" "TimeBodyAccelerometerAutoregressionCoefficientsY_1"
"tBodyAcc-arCoeff()-Y,2" "TimeBodyAccelerometerAutoregressionCoefficientsY_2"
"tBodyAcc-arCoeff()-Y,3" "TimeBodyAccelerometerAutoregressionCoefficientsY_3"
"tBodyAcc-arCoeff()-Y,4" "TimeBodyAccelerometerAutoregressionCoefficientsY_4"
"tBodyAcc-arCoeff()-Z,1" "TimeBodyAccelerometerAutoregressionCoefficientsZ_1"
"tBodyAcc-arCoeff()-Z,2" "TimeBodyAccelerometerAutoregressionCoefficientsZ_2"
